Drug1,Drug1 Description,Drug2,Drug2 Description,Interaction Risk (1-10)
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",3
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",9
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",5
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",9
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",9
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",6
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",8
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",10
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",5
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",6
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",2
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",2
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",6
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",7
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",8
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",2
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",8
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",3
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",10
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",5
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",10
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",4
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",10
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",4
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",5
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",7
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",3
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",3
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",5
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",7
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",2
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",3
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",8
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",4
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",8
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",6
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",2
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",4
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",2
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",3
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",7
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",5
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",2
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",2
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",6
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",6
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",9
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",3
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",10
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",9
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",2
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",7
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",1
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",3
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",7
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",1
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",2
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",8
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",5
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",7
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",9
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",2
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",1
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",2
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",9
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",5
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",1
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",2
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",3
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",2
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",10
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",5
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",2
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",10
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",1
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",10
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",6
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",8
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",1
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",2
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",4
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",7
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",9
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",8
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",5
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",5
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",9
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",7
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",8
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",8
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",3
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",6
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",9
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",9
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",3
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",7
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",8
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",6
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",6
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",9
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",2
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",3
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",10
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",7
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",4
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",1
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",4
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",5
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",5
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",8
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",2
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",6
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",3
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",3
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",4
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",6
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",6
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",6
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",8
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",10
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",5
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",9
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",2
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",3
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",3
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",6
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",6
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",5
Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",2
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",3
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",4
Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",6
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",10
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",8
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",6
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",4
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",5
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",7
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",10
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",4
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",10
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",5
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",4
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",4
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",10
Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",7
